  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2384   0.00569   0.00123  -0.0522   0.6488   0.6752
   0.000   0.2384   0.00569   0.00123  -0.0522   0.6488   0.6752
   0.250   0.2651   0.00562   0.00126  -0.0518   0.6320   0.7231
   0.500   0.2916   0.00558   0.00129  -0.0514   0.6152   0.7697
   0.750   0.3176   0.00553   0.00134  -0.0508   0.5990   0.8147
   1.000   0.3435   0.00552   0.00140  -0.0501   0.5831   0.8571
   1.250   0.3690   0.00554   0.00147  -0.0492   0.5676   0.8940
   1.500   0.3947   0.00559   0.00154  -0.0485   0.5526   0.9250
   1.750   0.4221   0.00568   0.00161  -0.0480   0.5378   0.9491
   2.000   0.4524   0.00580   0.00168  -0.0484   0.5229   0.9662
   2.250   0.4860   0.00593   0.00175  -0.0494   0.5081   0.9773
   2.500   0.5206   0.00607   0.00183  -0.0508   0.4932   0.9853
   2.750   0.5581   0.00622   0.00191  -0.0529   0.4776   0.9901
   3.000   0.5949   0.00637   0.00200  -0.0548   0.4617   0.9944
   3.250   0.6334   0.00652   0.00208  -0.0571   0.4453   0.9973
   3.500   0.6708   0.00668   0.00217  -0.0592   0.4279   1.0000
   3.750   0.6949   0.00681   0.00225  -0.0583   0.4124   1.0000
   4.000   0.7190   0.00696   0.00233  -0.0575   0.3955   1.0000
   4.250   0.7429   0.00713   0.00243  -0.0567   0.3766   1.0000
   4.500   0.7666   0.00733   0.00255  -0.0558   0.3562   1.0000
   4.750   0.7903   0.00756   0.00268  -0.0549   0.3349   1.0000
   5.000   0.8139   0.00780   0.00283  -0.0540   0.3114   1.0000
   5.250   0.8371   0.00809   0.00300  -0.0531   0.2873   1.0000
   5.500   0.8603   0.00841   0.00320  -0.0521   0.2610   1.0000
   5.750   0.8836   0.00874   0.00342  -0.0513   0.2345   1.0000
   6.000   0.9069   0.00912   0.00367  -0.0504   0.2078   1.0000
   6.250   0.9299   0.00953   0.00394  -0.0496   0.1812   1.0000
   6.500   0.9531   0.00995   0.00423  -0.0487   0.1562   1.0000
   6.750   0.9765   0.01036   0.00453  -0.0479   0.1345   1.0000
   7.000   0.9995   0.01081   0.00486  -0.0471   0.1139   1.0000
   7.250   1.0230   0.01122   0.00519  -0.0464   0.0979   1.0000
   7.500   1.0465   0.01162   0.00552  -0.0456   0.0844   1.0000
   7.750   1.0699   0.01203   0.00588  -0.0449   0.0730   1.0000
   8.000   1.0932   0.01245   0.00624  -0.0441   0.0640   1.0000
   8.250   1.1161   0.01289   0.00663  -0.0433   0.0563   1.0000
   8.500   1.1397   0.01326   0.00699  -0.0425   0.0510   1.0000
   8.750   1.1626   0.01367   0.00739  -0.0417   0.0462   1.0000
   9.000   1.1850   0.01412   0.00782  -0.0408   0.0420   1.0000
   9.250   1.2078   0.01452   0.00824  -0.0400   0.0390   1.0000
   9.500   1.2296   0.01499   0.00869  -0.0391   0.0360   1.0000
   9.750   1.2511   0.01545   0.00917  -0.0380   0.0336   1.0000
  10.000   1.2728   0.01589   0.00962  -0.0371   0.0316   1.0000
  10.000   1.2728   0.01589   0.00962  -0.0371   0.0316   1.0000
  10.100   1.2808   0.01610   0.00983  -0.0366   0.0308   1.0000
  10.200   1.2883   0.01635   0.01009  -0.0360   0.0299   1.0000
  10.300   1.2956   0.01661   0.01036  -0.0354   0.0291   1.0000
  10.400   1.3042   0.01677   0.01054  -0.0351   0.0287   1.0000
  10.500   1.3126   0.01694   0.01073  -0.0346   0.0282   1.0000
  10.600   1.3207   0.01712   0.01092  -0.0342   0.0277   1.0000
  10.700   1.3286   0.01732   0.01113  -0.0337   0.0271   1.0000
  10.800   1.3362   0.01753   0.01135  -0.0331   0.0266   1.0000
  10.900   1.3433   0.01776   0.01159  -0.0325   0.0261   1.0000
  11.000   1.3495   0.01803   0.01186  -0.0318   0.0255   1.0000
  11.100   1.3538   0.01837   0.01221  -0.0307   0.0248   1.0000
  11.200   1.3600   0.01860   0.01246  -0.0299   0.0245   1.0000
  11.300   1.3670   0.01878   0.01266  -0.0293   0.0242   1.0000
  11.400   1.3738   0.01898   0.01289  -0.0286   0.0238   1.0000
  11.500   1.3802   0.01920   0.01312  -0.0279   0.0235   1.0000
  11.600   1.3866   0.01943   0.01337  -0.0272   0.0231   1.0000
  11.700   1.3928   0.01967   0.01362  -0.0265   0.0227   1.0000
  11.800   1.3986   0.01993   0.01390  -0.0258   0.0224   1.0000
  11.900   1.4042   0.02021   0.01420  -0.0250   0.0221   1.0000
