  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.350 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.00710   0.00272  -0.0000   0.8368   0.8369
   0.500   0.0515   0.00718   0.00275   0.0022   0.7918   0.8765
   0.750   0.0776   0.00726   0.00280   0.0032   0.7670   0.8938
   1.000   0.1039   0.00739   0.00285   0.0041   0.7416   0.9098
   1.250   0.1307   0.00753   0.00292   0.0049   0.7147   0.9246
   1.500   0.1605   0.00772   0.00301   0.0050   0.6870   0.9360
   1.750   0.1918   0.00793   0.00310   0.0048   0.6578   0.9460
   2.000   0.2225   0.00813   0.00319   0.0045   0.6275   0.9565
   2.250   0.2605   0.00837   0.00330   0.0027   0.5946   0.9621
   2.500   0.2948   0.00860   0.00341   0.0015   0.5618   0.9703
   2.750   0.3366   0.00885   0.00352  -0.0013   0.5256   0.9737
   3.000   0.3754   0.00911   0.00363  -0.0036   0.4894   0.9791
   3.250   0.4133   0.00935   0.00374  -0.0057   0.4524   0.9844
   3.500   0.4535   0.00961   0.00385  -0.0084   0.4133   0.9886
   3.750   0.4913   0.00991   0.00399  -0.0107   0.3746   0.9937
   4.000   0.5317   0.01018   0.00411  -0.0135   0.3340   0.9973
   4.250   0.5666   0.01049   0.00426  -0.0152   0.2952   1.0000
   4.500   0.5892   0.01075   0.00438  -0.0144   0.2632   1.0000
   4.750   0.6111   0.01104   0.00455  -0.0135   0.2323   1.0000
   5.000   0.6327   0.01137   0.00474  -0.0124   0.2029   1.0000
   5.250   0.6540   0.01172   0.00498  -0.0113   0.1759   1.0000
   5.750   0.6954   0.01251   0.00555  -0.0089   0.1316   1.0000
   6.000   0.7158   0.01293   0.00589  -0.0075   0.1149   1.0000
   6.250   0.7360   0.01336   0.00626  -0.0061   0.1016   1.0000
   6.500   0.7561   0.01381   0.00667  -0.0047   0.0910   1.0000
   6.750   0.7755   0.01433   0.00714  -0.0031   0.0822   1.0000
   7.000   0.7956   0.01478   0.00757  -0.0017   0.0752   1.0000
   7.250   0.8152   0.01531   0.00811  -0.0002   0.0693   1.0000
   7.500   0.8346   0.01584   0.00861   0.0013   0.0642   1.0000
   7.750   0.8539   0.01642   0.00923   0.0029   0.0600   1.0000
   8.000   0.8739   0.01692   0.00974   0.0043   0.0564   1.0000
   8.250   0.8911   0.01775   0.01056   0.0061   0.0531   1.0000
   8.500   0.9120   0.01824   0.01111   0.0074   0.0502   1.0000
   8.750   0.9316   0.01886   0.01174   0.0087   0.0476   1.0000
   9.000   0.9485   0.01989   0.01277   0.0104   0.0455   1.0000
   9.250   0.9691   0.02049   0.01347   0.0116   0.0435   1.0000
   9.500   0.9889   0.02114   0.01415   0.0128   0.0415   1.0000
   9.750   1.0060   0.02218   0.01516   0.0142   0.0397   1.0000
  10.000   1.0243   0.02314   0.01623   0.0156   0.0383   1.0000
  10.100   1.0319   0.02347   0.01661   0.0161   0.0378   1.0000
  10.200   1.0393   0.02381   0.01700   0.0167   0.0372   1.0000
  10.300   1.0466   0.02416   0.01738   0.0172   0.0367   1.0000
  10.400   1.0538   0.02451   0.01776   0.0177   0.0361   1.0000
  10.500   1.0609   0.02485   0.01812   0.0182   0.0356   1.0000
  10.600   1.0680   0.02520   0.01849   0.0187   0.0352   1.0000
  10.700   1.0748   0.02557   0.01886   0.0192   0.0347   1.0000
  10.800   1.0812   0.02602   0.01930   0.0198   0.0343   1.0000
  10.900   1.0869   0.02671   0.01999   0.0204   0.0338   1.0000
  11.000   1.0924   0.02743   0.02075   0.0210   0.0333   1.0000
  11.100   1.0986   0.02776   0.02117   0.0216   0.0330   1.0000
  11.200   1.1046   0.02815   0.02163   0.0223   0.0326   1.0000
  11.300   1.1103   0.02858   0.02212   0.0229   0.0322   1.0000
  11.400   1.1159   0.02902   0.02262   0.0235   0.0318   1.0000
  11.500   1.1213   0.02949   0.02314   0.0242   0.0314   1.0000
  11.600   1.1263   0.02997   0.02367   0.0249   0.0311   1.0000
  11.700   1.1307   0.03044   0.02418   0.0257   0.0307   1.0000
