  
       XFOIL         Version 6.99
  
 Calculated polar for: E201                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.350 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.3505   0.00826   0.00277  -0.0766   0.6727   0.8177
   0.250   0.3748   0.00818   0.00282  -0.0754   0.6664   0.8696
   0.500   0.4044   0.00818   0.00286  -0.0752   0.6610   0.9224
   0.750   0.4459   0.00821   0.00288  -0.0779   0.6546   0.9624
   1.000   0.4917   0.00827   0.00288  -0.0817   0.6490   0.9872
   1.250   0.5360   0.00831   0.00288  -0.0854   0.6425   1.0000
   1.500   0.5602   0.00842   0.00292  -0.0848   0.6373   1.0000
   1.750   0.5846   0.00851   0.00299  -0.0841   0.6311   1.0000
   2.000   0.6099   0.00863   0.00306  -0.0836   0.6261   1.0000
   2.250   0.6349   0.00873   0.00315  -0.0831   0.6198   1.0000
   2.500   0.6607   0.00885   0.00322  -0.0827   0.6142   1.0000
   2.750   0.6862   0.00894   0.00332  -0.0822   0.6074   1.0000
   3.000   0.7120   0.00905   0.00341  -0.0817   0.6009   1.0000
   3.250   0.7380   0.00915   0.00350  -0.0813   0.5940   1.0000
   3.500   0.7639   0.00926   0.00362  -0.0809   0.5867   1.0000
   3.750   0.7901   0.00937   0.00370  -0.0805   0.5797   1.0000
   4.000   0.8158   0.00945   0.00381  -0.0800   0.5712   1.0000
   4.250   0.8416   0.00955   0.00394  -0.0796   0.5631   1.0000
   4.500   0.8677   0.00966   0.00405  -0.0792   0.5552   1.0000
   4.750   0.8934   0.00976   0.00417  -0.0787   0.5462   1.0000
   5.000   0.9189   0.00985   0.00431  -0.0782   0.5363   1.0000
   5.250   0.9443   0.00995   0.00445  -0.0777   0.5260   1.0000
   5.500   0.9696   0.01007   0.00461  -0.0772   0.5152   1.0000
   5.750   0.9945   0.01019   0.00477  -0.0765   0.5027   1.0000
   6.000   1.0184   0.01033   0.00490  -0.0757   0.4857   1.0000
   6.250   1.0413   0.01050   0.00505  -0.0747   0.4634   1.0000
   6.500   1.0638   0.01073   0.00527  -0.0737   0.4372   1.0000
   6.750   1.0849   0.01107   0.00553  -0.0725   0.4059   1.0000
   7.000   1.1029   0.01161   0.00589  -0.0708   0.3585   1.0000
   7.250   1.1166   0.01247   0.00643  -0.0686   0.2965   1.0000
   7.500   1.1287   0.01349   0.00715  -0.0662   0.2387   1.0000
   7.750   1.1404   0.01454   0.00792  -0.0639   0.1877   1.0000
   8.000   1.1521   0.01555   0.00870  -0.0616   0.1454   1.0000
   8.250   1.1636   0.01653   0.00949  -0.0592   0.1100   1.0000
   8.500   1.1718   0.01761   0.01036  -0.0564   0.0759   1.0000
   8.750   1.1713   0.01900   0.01147  -0.0522   0.0397   1.0000
   9.000   1.1724   0.02039   0.01276  -0.0484   0.0245   1.0000
   9.250   1.1797   0.02148   0.01390  -0.0456   0.0207   1.0000
   9.500   1.1874   0.02260   0.01509  -0.0431   0.0187   1.0000
   9.750   1.1953   0.02375   0.01632  -0.0408   0.0177   1.0000
  10.000   1.2003   0.02515   0.01779  -0.0385   0.0167   1.0000
  10.100   1.2008   0.02584   0.01851  -0.0376   0.0164   1.0000
  10.200   1.2005   0.02662   0.01931  -0.0366   0.0162   1.0000
  10.300   1.2031   0.02720   0.01993  -0.0359   0.0160   1.0000
  10.400   1.2056   0.02780   0.02057  -0.0352   0.0159   1.0000
  10.500   1.2084   0.02839   0.02121  -0.0345   0.0153   1.0000
  10.600   1.2095   0.02914   0.02200  -0.0338   0.0154   1.0000
  10.700   1.2132   0.02968   0.02258  -0.0333   0.0149   1.0000
  10.800   1.2141   0.03047   0.02341  -0.0326   0.0148   1.0000
  10.900   1.2170   0.03110   0.02406  -0.0321   0.0144   1.0000
  11.000   1.2174   0.03196   0.02497  -0.0315   0.0145   1.0000
  11.100   1.2200   0.03264   0.02566  -0.0310   0.0141   1.0000
  11.200   1.2216   0.03342   0.02647  -0.0305   0.0140   1.0000
  11.300   1.2229   0.03423   0.02731  -0.0301   0.0137   1.0000
  11.400   1.2236   0.03513   0.02824  -0.0296   0.0136   1.0000
  11.500   1.2248   0.03598   0.02911  -0.0291   0.0135   1.0000
  11.600   1.2243   0.03700   0.03015  -0.0286   0.0133   1.0000
  11.700   1.2257   0.03786   0.03104  -0.0282   0.0133   1.0000
  11.800   1.2254   0.03890   0.03210  -0.0276   0.0132   1.0000
  11.900   1.2259   0.03986   0.03309  -0.0272   0.0131   1.0000
  12.000   1.2261   0.04089   0.03414  -0.0266   0.0130   1.0000
  12.100   1.2289   0.04165   0.03493  -0.0263   0.0130   1.0000
  12.200   1.2302   0.04260   0.03591  -0.0258   0.0128   1.0000
  12.300   1.2324   0.04345   0.03680  -0.0254   0.0128   1.0000
  12.400   1.2353   0.04424   0.03764  -0.0251   0.0127   1.0000
  12.500   1.2380   0.04504   0.03849  -0.0248   0.0127   1.0000
  12.600   1.2405   0.04591   0.03939  -0.0243   0.0127   1.0000
  12.700   1.2433   0.04674   0.04028  -0.0240   0.0126   1.0000
  12.800   1.2459   0.04762   0.04121  -0.0236   0.0125   1.0000
  12.900   1.2487   0.04846   0.04210  -0.0233   0.0125   1.0000
  13.000   1.2518   0.04930   0.04298  -0.0229   0.0125   1.0000
  13.100   1.2543   0.05021   0.04395  -0.0226   0.0124   1.0000
  13.200   1.2569   0.05113   0.04493  -0.0223   0.0124   1.0000
  13.300   1.2593   0.05208   0.04593  -0.0220   0.0123   1.0000
  13.400   1.2622   0.05299   0.04690  -0.0217   0.0123   1.0000
  13.500   1.2645   0.05399   0.04796  -0.0214   0.0123   1.0000
  13.600   1.2662   0.05509   0.04913  -0.0211   0.0122   1.0000
  13.700   1.2687   0.05605   0.05015  -0.0208   0.0123   1.0000
  13.800   1.2694   0.05723   0.05142  -0.0206   0.0122   1.0000
  13.900   1.2703   0.05847   0.05273  -0.0204   0.0121   1.0000
  14.000   1.2716   0.05962   0.05396  -0.0203   0.0122   1.0000
  14.100   1.2712   0.06090   0.05531  -0.0203   0.0120   1.0000
  14.200   1.2713   0.06224   0.05673  -0.0201   0.0121   1.0000
  14.300   1.2707   0.06359   0.05816  -0.0202   0.0120   1.0000
  14.400   1.2701   0.06508   0.05974  -0.0201   0.0121   1.0000
  14.500   1.2682   0.06665   0.06140  -0.0202   0.0120   1.0000
  14.600   1.2673   0.06807   0.06288  -0.0203   0.0120   1.0000
  14.700   1.2655   0.06977   0.06469  -0.0204   0.0121   1.0000
  14.800   1.2624   0.07133   0.06633  -0.0209   0.0118   1.0000
  14.900   1.2597   0.07317   0.06826  -0.0211   0.0119   1.0000
  15.000   1.2565   0.07495   0.07012  -0.0215   0.0118   1.0000
  15.100   1.2530   0.07689   0.07215  -0.0218   0.0119   1.0000
  15.200   1.2491   0.07888   0.07423  -0.0223   0.0119   1.0000
  15.300   1.2453   0.08081   0.07624  -0.0230   0.0118   1.0000
  15.400   1.2399   0.08311   0.07864  -0.0236   0.0119   1.0000
  15.500   1.2350   0.08539   0.08101  -0.0242   0.0120   1.0000
  15.600   1.2320   0.08720   0.08288  -0.0251   0.0118   1.0000
  15.700   1.2258   0.08976   0.08554  -0.0259   0.0120   1.0000
  15.800   1.2205   0.09215   0.08800  -0.0269   0.0120   1.0000
  15.900   1.2145   0.09469   0.09063  -0.0280   0.0119   1.0000
  16.000   1.2090   0.09719   0.09321  -0.0291   0.0119   1.0000
  16.100   1.2022   0.09997   0.09608  -0.0304   0.0120   1.0000
  16.200   1.1969   0.10251   0.09869  -0.0316   0.0120   1.0000
  16.300   1.1900   0.10541   0.10168  -0.0330   0.0121   1.0000
  16.400   1.1835   0.10828   0.10462  -0.0345   0.0121   1.0000
  16.500   1.1763   0.11137   0.10780  -0.0362   0.0121   1.0000
  16.600   1.1696   0.11439   0.11089  -0.0379   0.0122   1.0000
  16.700   1.1622   0.11764   0.11421  -0.0398   0.0122   1.0000
  16.800   1.1560   0.12069   0.11733  -0.0416   0.0123   1.0000
  16.900   1.1501   0.12367   0.12037  -0.0433   0.0123   1.0000
  17.000   1.1421   0.12724   0.12402  -0.0456   0.0124   1.0000
  17.100   1.1354   0.13059   0.12743  -0.0477   0.0124   1.0000
  17.200   1.1297   0.13374   0.13063  -0.0496   0.0125   1.0000
  17.300   1.1242   0.13689   0.13384  -0.0516   0.0125   1.0000
  17.400   1.1180   0.14027   0.13727  -0.0538   0.0126   1.0000
  17.500   1.1107   0.14412   0.14117  -0.0564   0.0126   1.0000
  17.600   1.1037   0.14788   0.14499  -0.0589   0.0127   1.0000
  17.700   1.0985   0.15118   0.14833  -0.0611   0.0127   1.0000
  17.800   1.0912   0.15516   0.15235  -0.0637   0.0128   1.0000
  17.900   1.0879   0.15792   0.15513  -0.0653   0.0129   1.0000
  18.000   1.0844   0.16073   0.15795  -0.0669   0.0130   1.0000
  18.100   1.0790   0.16473   0.16202  -0.0698   0.0130   1.0000
   0.000   0.3505   0.00826   0.00277  -0.0766   0.6727   0.8177
  -0.250   0.3257   0.00832   0.00273  -0.0775   0.6783   0.7713
  -0.500   0.3001   0.00840   0.00269  -0.0782   0.6848   0.7311
  -0.750   0.2738   0.00845   0.00268  -0.0787   0.6907   0.6954
  -1.000   0.2474   0.00852   0.00267  -0.0791   0.6977   0.6633
  -1.250   0.2205   0.00856   0.00268  -0.0794   0.7038   0.6338
  -1.500   0.1936   0.00861   0.00269  -0.0797   0.7110   0.6060
  -1.750   0.1665   0.00865   0.00273  -0.0800   0.7178   0.5786
  -2.000   0.1396   0.00870   0.00275  -0.0803   0.7250   0.5478
  -2.250   0.1129   0.00878   0.00278  -0.0806   0.7331   0.5124
  -2.500   0.0861   0.00884   0.00283  -0.0809   0.7405   0.4731
  -2.750   0.0595   0.00896   0.00287  -0.0812   0.7487   0.4245
  -3.000   0.0333   0.00914   0.00293  -0.0815   0.7579   0.3629
  -3.250   0.0079   0.00948   0.00303  -0.0819   0.7668   0.2781
  -3.500  -0.0177   0.00983   0.00321  -0.0821   0.7762   0.2096
  -3.750  -0.0434   0.01019   0.00342  -0.0824   0.7864   0.1509
  -4.000  -0.0685   0.01068   0.00370  -0.0827   0.7974   0.0867
  -4.250  -0.0927   0.01144   0.00428  -0.0833   0.8091   0.0383
  -4.500  -0.1185   0.01184   0.00476  -0.0838   0.8217   0.0327
  -4.750  -0.1441   0.01226   0.00531  -0.0844   0.8354   0.0304
  -5.000  -0.1694   0.01270   0.00586  -0.0850   0.8504   0.0286
  -5.250  -0.1946   0.01326   0.00653  -0.0856   0.8660   0.0274
  -5.500  -0.2187   0.01430   0.00765  -0.0862   0.8822   0.0263
  -6.000  -0.2752   0.01580   0.00944  -0.0864   0.9133   0.0246
  -6.250  -0.3057   0.01698   0.01077  -0.0859   0.9261   0.0242
  -6.500  -0.3368   0.01841   0.01240  -0.0853   0.9373   0.0239
  -6.750  -0.3673   0.02025   0.01451  -0.0846   0.9477   0.0240
  -7.000  -0.3960   0.02277   0.01741  -0.0840   0.9574   0.0246
  -7.250  -0.4264   0.02632   0.02135  -0.0822   0.9636   0.0256
